id,run_id,repository_id,name,head_branch,head_sha,path,conclusion,workflow_id,actor_name,git_num_committers,repo_team_size_last_3_month,commit_message_issue_ref,gh_commits_on_files_touched,git_commit_attention,trigger_event,gh_pr_description_complexity,gh_num_pr_comments,pr_number,git_same_committer,gh_previous_build_result,git_commits,base_sha,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_other_files,gh_hotspot_files_touched,gh_src_files,gh_src_churn,gh_files_type_modified,gh_test_churn,gh_files_entropy,gh_cross_module_changes,ast_class_added,ast_class_deleted,ast_class_modified,ast_class_changed,ast_met_added,ast_met_deleted,ast_met_changed,ast_met_sig_modified,ast_field_added,ast_field_deleted,ast_field_changed,ast_import_added,ast_import_deleted,ast_import_changed,src_ast_diff,test_ast_diff,gh_dependencies_churn,dependencies_count,gh_files_added,gh_files_deleted,gh_tests_added,gh_tests_deleted,gh_doc_files,gh_config_files,ast_met_body_modified,dockerfile_changed,docker_compose_changed,workflow_size,external_github_resource,test_frameworks,build_language,sloc_initial,test_lines_initial,test_lines_per_1000_sloc,tests_passed,tests_failed,tests_skipped,tests_total,tests_ran,repo_fail_rate_history,gh_committer_bayesian_trust_score_history,repo_fail_rate_recent,gh_committer_bayesian_trust_score_recent,git_committer_repo_exp,is_core_member,concurrent_jobs,committer_cross_project_exp,gh_committer_first_build,prev_build_same_files_touched,repo_ci_config_churn_nums,is_master
45178,8567105458,12323472,Java CI,feat/ipns-resolution,a3b34c42fc8625571e73db90deeefc923c8e3772,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,116,0,1143.0,1,success,1,cccc51ba0f002e97323e5ac2cf571e4db758d7bc,1,8,2,0,0,1,10,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,82595,17978,217.665,0,0,0,0,1,0.0798005,0.53825,0.00249377,0.922118,37,0,3,0,0,1,0,0
45179,8283142789,12323472,Java CI,opt/100x-gc,af60ba921e50123032e65389dbdecdfa5151cc3d,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,116,0,1140.0,1,failure,1,2742a041cb2d3be7392a6aca1ad96b80f852cf8c,1,8,3,0,0,1,11,1,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,81469,17678,216.991,0,0,0,0,1,0.0498753,0.506774,0.0374065,0.49332,22,0,3,0,0,1,0,0
45180,9368122096,12323472,Java CI,master,5e9552732c0f3e5a3e35cec4977542fd436422b5,.github/workflows/ant.yml,success,5982,ianopolous,25,4,0,1,{'fix'},push,0,0,,1,success,1,571749f85febcc89202c3eb39a448d6b0fd7ba87,1,7,2,0,0,1,9,1,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,244,1,[],java-ant,82977,18023,217.205,0,0,0,0,1,0.0074813,0.872662,0.0,1.0,11,0,3,0,0,1,0,1
45181,8267958350,12323472,Java CI,opt/100x-gc,2e33bd074d2259ee177f18405e655a67ebd19489,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,116,0,1140.0,1,failure,1,3ec14a058f6e6efbe400e3ceff99acf02ea3aaf1,3,50,3,0,0,1,2,1,51,0,0,0,0,3,3,3,0,3,12,0,0,0,6,1,7,1,1,0,0,0,0,49,2,0,0,0,0,0,29,0,[],java-ant,81448,17666,216.899,0,0,0,0,1,0.032419,0.532227,0.0199501,0.523544,11,0,3,0,0,1,0,0
45182,9479482607,12323472,Java CI,fix/deleting-write-shared-folder,515408176e9a47d1a7a7b2d2ba1f6fd52bb8e089,.github/workflows/ant.yml,success,5982,ianopolous,25,4,0,1,{'fix'},push,17,0,1164.0,1,failure,1,2d36c88e73374f02f9feb7b451390c76fcc786a8,1,8,4,0,0,1,12,1,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220,1,[],java-ant,83140,18144,218.234,0,0,0,0,1,0.0224439,0.631263,0.0174564,0.493766,17,0,3,0,0,0,0,0
45183,8644374137,12323472,Java CI,opt/async-pki-init,165cb48fb43c4534fa20f5b5268b507b62f9b6c3,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,23,0,1147.0,1,failure,1,39d1ecfd1fe2896423ac806ebbf104e024c3d30a,2,11,3,0,1,2,14,1,0,0,0,0,0,2,2,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,220,1,[],java-ant,82654,17988,217.63,0,0,0,0,1,0.0922693,0.561333,0.0374065,0.552519,45,0,3,0,0,0,0,0
45184,8891682605,12323472,Java CI,fix/mfa-and-offline-login,74e54e4c8dd6f9576d0d2e7b809d2a84504a9e45,.github/workflows/ant.yml,success,5982,ianopolous,25,4,0,0,,push,70,0,1156.0,1,success,1,089cd1dfa4039dde517c8582edc1097c51a7dcc5,5,14,1,0,0,5,15,1,0,0,0,0,0,5,5,3,0,3,31,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,220,1,[],java-ant,82920,18023,217.354,0,0,0,0,1,0.0972569,0.523652,0.00498753,0.897506,50,0,3,0,0,0,0,0
45185,8573502054,12323472,Java CI,feat/ipns-resolution,60ac8d74b1f8b128ea4cb965cab49193453eacd6,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,116,0,1143.0,1,failure,1,5511b5dd58a13cb4fd0dec2769f2ef424646c50d,2,7,2,0,0,1,3,1,6,0,0,0,0,2,2,0,0,0,17,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0,29,0,[],java-ant,82622,17984,217.666,0,0,0,0,1,0.0872818,0.51498,0.00997506,0.746883,40,0,3,0,0,0,0,0
45186,9188899365,12323472,Java CI,fix/oflline-mdns-discovery,97c70950bd369afe7e92f0ae0b0d4405ef3bd78f,.github/workflows/ant.yml,success,5982,ianopolous,25,4,0,1,{'fix'},push,28,0,1160.0,1,success,1,921c18fbaaa776592f792b5bb51e168e65a0d4de,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,[],java-ant,82970,18023,217.223,0,0,0,0,1,0.0124688,0.815348,0.0,1.0,17,0,3,0,0,0,0,0
45187,8525685066,12323472,Java CI,feat/ipns-resolution,df773f9bde7470327b93dde5a781aad0ce63d0cf,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,116,0,1143.0,1,success,1,6444027bfa36b971fac7f67a5777f221b1366f22,3,7,3,0,0,3,10,1,0,0,0,0,0,3,3,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,82583,17978,217.696,0,0,0,0,1,0.0822943,0.523361,0.0124688,0.66251,33,0,3,0,0,1,0,0
45188,8340328942,12323472,Java CI,opt/100x-gc,5534baf3d4ac1b6b013b4290391d833b1404653f,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,120,0,1142.0,1,success,1,4b3504d617c0fbdcebbc1244ed1bdb3eb5fdc01a,1,1,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,29,0,[],java-ant,81600,17792,218.039,0,0,0,0,1,0.0623441,0.470188,0.0448878,0.461736,27,0,3,0,0,0,0,0
45189,8293287243,12323472,Java CI,opt/100x-gc,08e6ee86e6e7e177091ee7aafe318dd0e792c5d3,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,116,0,1140.0,1,success,1,5eb9ae832d2f9d881b895a2b6f1be876525442db,1,1,1,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,81484,17679,216.963,0,0,0,0,1,0.0498753,0.532067,0.032419,0.532227,24,0,3,0,0,1,0,0
45190,8377953172,12323472,Java CI,feat/ipns-resolution,506d0fe93c2a8a5125e6f4fef44506dad903171e,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,0,0,,1,failure,1,0c1913bbc86f682e71ecd696fe77ef96ad7a4653,4,18,3,1,0,3,21,2,0,1,1,0,0,3,3,1,0,1,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,82102,17743,216.109,0,0,0,0,1,0.0773067,0.445537,0.0299252,0.514015,27,0,3,0,0,1,0,0
45191,8382282551,12323472,Java CI,feat/ipns-resolution,8a7847a90c6c4564437f031388aac3238cc40387,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,0,0,,1,success,26,e495ea1e4ee49ccf6d8a8086b15ce66d1262e680,23,635,213,0,0,18,658,1,190,0,0,2,0,23,25,6,0,6,225,2,0,2,46,3,49,1,1,0,0,2,0,182,8,0,0,6,0,0,29,0,[],java-ant,82514,17929,217.284,0,0,0,0,1,0.0798005,0.457161,0.032419,0.529925,27,0,3,0,0,0,0,0
45192,8378237039,12323472,Java CI,feat/ipns-resolution,ee284a0208b01b8dd0d42888321c745a7fc80c94,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,0,0,,1,success,1,506d0fe93c2a8a5125e6f4fef44506dad903171e,2,27,2,0,0,2,29,1,0,0,0,0,0,2,2,1,0,1,8,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,82126,17743,216.046,0,0,0,0,1,0.0798005,0.437055,0.032419,0.493766,27,0,3,0,0,1,0,0
45193,8272072920,12323472,Java CI,opt/100x-gc,83eca7eaa7cfb008117b4fa74e87e9e39f63332e,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,116,0,1140.0,1,failure,1,0688bdfb8a970071ae48ab2d2e0ba4d6b186a362,1,4,1,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,2,0,0,29,0,[],java-ant,81453,17669,216.923,0,0,0,0,1,0.042394,0.459601,0.0299252,0.421446,15,0,3,0,0,1,0,0
45194,8455463303,12323472,Java CI,feat/ipns-resolution,57de824287bde2047058e01ca87d29db20210f6b,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,0,0,,1,failure,1,6226abffb5cca87700354cc17d66583567242cdd,1,4,29,0,0,0,0,1,33,0,0,0,0,1,1,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,4,29,0,0,1,0,0,29,0,[],java-ant,82540,17935,217.289,0,0,0,0,1,0.0798005,0.493564,0.0274314,0.571648,29,0,3,0,0,1,0,0
45195,7727214210,12323472,Java CI,master,849321288b655019b5be676530314ccd0578593e,.github/workflows/ant.yml,success,5982,ianopolous,24,3,0,0,,push,0,0,,1,failure,1,2a0d1640c765155e8c8e2694951b7b063899f212,1,7,0,0,0,0,0,1,7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,29,0,[],java-ant,81112,17613,217.144,0,0,0,0,1,0.00249377,0.855362,0.00249377,0.855362,2,0,3,0,0,1,0,1
45196,8723594945,12323472,Java CI,opt/fast-mirror,6a63d2a2bdfddfec8f410d12056199560286646d,.github/workflows/ant.yml,success,5982,ianopolous,24,3,0,1,{'fix'},push,34,0,1148.0,1,failure,1,c71b23d83f62fc302241dbac6027938e3d93decf,3,28,0,1,0,2,28,2,0,1,1,0,0,2,2,2,0,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220,1,[],java-ant,82852,17988,217.11,0,0,0,0,1,0.102244,0.507188,0.0374065,0.440648,35,0,3,0,0,0,0,0
45197,9098521380,12323472,Java CI,fix/oflline-mdns-discovery,213091dc8ce5833d727b2df61dbfaf463b7e9204,.github/workflows/ant.yml,success,5982,ianopolous,25,4,0,1,{'chore'},push,28,0,1160.0,1,success,1,213091dc8ce5833d727b2df61dbfaf463b7e9204,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,[],java-ant,82970,18023,217.223,0,0,0,0,1,0.0124688,0.823376,0.0,1.0,18,0,3,0,0,0,0,0
45198,8545337201,12323472,Java CI,feat/ipns-resolution,cccc51ba0f002e97323e5ac2cf571e4db758d7bc,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,116,0,1143.0,1,failure,1,96a96adb903be54cc3660e6acd23f6f769b5c7c9,2,2,3,0,0,2,5,1,0,0,0,0,0,2,2,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,[],java-ant,82590,17978,217.678,0,0,0,0,1,0.084788,0.52924,0.00498753,0.844236,36,0,3,0,0,1,0,0
45199,8393681392,12323472,Java CI,feat/ipns-resolution,604dc9f532c3c633a5ad75f3d3d845ece91be324,.github/workflows/ant.yml,success,5982,ianopolous,24,2,0,0,,push,0,0,,1,success,1,a8635ec48577ed752b2cd04dcd86a89b8f0c9521,1,2,2,0,0,1,4,1,0,0,0,0,0,1,1,0,0,0,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,29,0,[],java-ant,82524,17929,217.258,0,0,0,0,1,0.0773067,0.484974,0.0274314,0.571648,27,0,3,0,0,1,0,0
45200,8451199232,12323472,Java CI,feat/ipns-resolution,80f9fd3b9df1220c9f2884dfc3647ba457c72340,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,0,,push,0,0,,1,failure,1,bf34ff1e091f81dfc3fed5097333c02dc4460d32,11,45,30,0,0,10,73,1,2,0,0,0,0,11,11,0,0,0,194,3,0,3,5,0,5,1,1,0,0,0,0,1,1,0,0,1,0,0,29,0,[],java-ant,82558,17960,217.544,0,0,0,0,1,0.074813,0.510432,0.0224439,0.620324,29,0,3,0,0,0,0,0
45201,8590908752,12323472,Java CI,master,7adf923681d210387c0482872c4c516b034aed35,.github/workflows/ant.yml,failure,5982,ianopolous,24,2,0,1,{'chore'},push,0,0,,1,success,1,755430595218cf72ae5d818dec4684dc16f5a282,1,2,2,0,1,1,4,1,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,244,1,[],java-ant,82635,17984,217.632,0,0,0,0,1,0.102244,0.512516,0.0249377,0.646753,48,0,3,0,0,1,0,1
